# //UNITED STATES GEOLOGICAL SURVEY       http://water.usgs.gov/
# //NATIONAL WATER INFORMATION SYSTEM     http://water.usgs.gov/data.html
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS
# //RETRIEVED: 2018-02-28 01:11:02
# //WARNING
# //WARNING The stage-discharge rating provided in this file should be
# //WARNING considered provisional and subject to change. Stage-discharge
# //WARNING ratings change over time as the channel features that control
# //WARNING the relation between stage and discharge vary. Users are
# //WARNING cautioned to consider carefully the applicability of this
# //WARNING rating before using it for decisions that concern personal or
# //WARNING public safety or operational consequences.
# //WARNING
# //WARNING This rating does not include any shifts that may have been
# //WARNING used along with this base rating in converting stage to
# //WARNING discharge at this site. Stage data processed with the rating
# //WARNING thus may not match that displayed or published by the USGS.
# //WARNING
# //FILE TYPE="NWIS RATING" 
# //DATABASE NUMBER=01 DESCRIPTION=" Standard data base for this site."
# //STATION AGENCY="USGS " NUMBER="03277500       " TIME_ZONE="EST" DST_FLAG=Y
# //STATION NAME="NORTH FORK KENTUCKY RIVER AT HAZARD, KY"
# //LABEL="Discharge (ft^3/s)"
# //PARAMETER CODE="00060"
# //RATING SHIFTED="20180228011102 EST"
# //RATING ID="24.0" TYPE="STGQ" NAME="stage-discharge" AGING=????
# //RATING REMARKS="Based on Qm's 562, 563. Better upper end definition."
# //RATING EXPANSION="logarithmic"
# //RATING OFFSET1=3.770000E+00
# //RATING_INDEP ROUNDING="????" PARAMETER="Gage height (ft)"
# //RATING_DEP ROUNDING="????" PARAMETER="Discharge (ft^3/s)"
# //RATING_DATETIME BEGIN=20170423120000 BZONE=-05:00 END=-------------- EZONE=--- AGING=1
# //RATING_DATETIME COMMENT="Based on Qm's 562, 563. Better upper end definition."
# //SHIFT_PREV BEGIN="20180211143800" BZONE="-05:00" END="--------------" EZONE="---"
# //SHIFT_PREV STAGE1="4.50" SHIFT1="-0.01" STAGE2="5.00" SHIFT2="-0.01" STAGE3="6.50" SHIFT3="0.00"
# //SHIFT_PREV COMMENT=""
# //SHIFT_NEXT BEGIN="--------------" BZONE="---" END="--------------" EZONE="---"
# //SHIFT_NEXT STAGE1="---" SHIFT1="---" STAGE2="---" SHIFT2="---" STAGE3="---" SHIFT3="---"
# //SHIFT_NEXT COMMENT=" "
INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
3.81	-0.01	3.75	
3.82	-0.01	4.70	
3.83	-0.01	5.60	
3.84	-0.01	6.46	
3.85	-0.01	7.29	
3.86	-0.01	8.10	
3.87	-0.01	8.88	*
3.88	-0.01	9.65	
3.89	-0.01	11.07	
3.90	-0.01	12.55	
3.91	-0.01	14.08	
3.92	-0.01	15.67	
3.93	-0.01	17.31	
3.94	-0.01	18.99	
3.95	-0.01	20.73	
3.96	-0.01	22.51	*
3.97	-0.01	24.33	
3.98	-0.01	26.81	
3.99	-0.01	29.40	
4.00	-0.01	32.10	
4.01	-0.01	34.91	
4.02	-0.01	37.83	
4.03	-0.01	40.87	*
4.04	-0.01	44.01	
4.05	-0.01	47.03	
4.06	-0.01	50.14	
4.07	-0.01	53.33	
4.08	-0.01	56.60	
4.09	-0.01	59.96	
4.10	-0.01	63.41	
4.11	-0.01	66.93	
4.12	-0.01	70.54	
4.13	-0.01	74.23	*
4.14	-0.01	78.00	
4.15	-0.01	81.50	
4.16	-0.01	85.07	
4.17	-0.01	88.69	
4.18	-0.01	92.36	
4.19	-0.01	96.09	
4.20	-0.01	99.88	*
4.21	-0.01	103.72	
4.22	-0.01	107.58	
4.23	-0.01	111.48	
4.24	-0.01	115.44	*
4.25	-0.01	119.45	
4.26	-0.01	123.86	
4.27	-0.01	128.34	
4.28	-0.01	132.88	
4.29	-0.01	137.49	*
4.30	-0.01	142.16	
4.31	-0.01	147.19	
4.32	-0.01	152.30	
4.33	-0.01	157.48	
4.34	-0.01	162.74	
4.35	-0.01	168.09	
4.36	-0.01	173.51	
4.37	-0.01	179.00	
4.38	-0.01	184.58	
4.39	-0.01	190.23	*
4.40	-0.01	195.96	
4.41	-0.01	202.20	
4.42	-0.01	208.53	
4.43	-0.01	214.96	
4.44	-0.01	221.48	
4.45	-0.01	228.10	
4.46	-0.01	234.81	
4.47	-0.01	241.62	
4.48	-0.01	248.52	*
4.49	-0.01	255.52	
4.50	-0.01	263.29	
4.51	-0.01	271.19	
4.52	-0.01	279.21	
4.53	-0.01	287.35	
4.54	-0.01	295.62	
4.55	-0.01	304.01	
4.56	-0.01	312.53	*
4.57	-0.01	321.18	
4.58	-0.01	330.23	
4.59	-0.01	339.42	
4.60	-0.01	348.75	
4.61	-0.01	358.21	
4.62	-0.01	367.82	
4.63	-0.01	377.56	
4.64	-0.01	387.45	
4.65	-0.01	397.47	
4.66	-0.01	407.63	
4.67	-0.01	417.94	
4.68	-0.01	428.38	
4.69	-0.01	438.97	
4.70	-0.01	449.70	
4.71	-0.01	460.57	
4.72	-0.01	471.58	
4.73	-0.01	482.74	
4.74	-0.01	494.04	*
4.75	-0.01	505.48	
4.76	-0.01	515.06	
4.77	-0.01	524.72	
4.78	-0.01	534.46	
4.79	-0.01	544.28	
4.80	-0.01	554.19	
4.81	-0.01	564.17	
4.82	-0.01	574.24	
4.83	-0.01	584.38	
4.84	-0.01	594.61	
4.85	-0.01	604.92	
4.86	-0.01	615.30	
4.87	-0.01	625.77	
4.88	-0.01	636.32	
4.89	-0.01	646.94	
4.90	-0.01	657.65	
4.91	-0.01	668.44	
4.92	-0.01	679.30	
4.93	-0.01	690.25	
4.94	-0.01	701.28	*
4.95	-0.01	712.38	
4.96	-0.01	722.39	
4.97	-0.01	732.46	
4.98	-0.01	742.58	
4.99	-0.01	752.76	
5.00	-0.01	762.99	
5.01	-0.01	773.34	
5.02	-0.01	783.74	
5.03	-0.01	794.20	
5.04	-0.01	804.72	
5.05	-0.01	815.29	
5.06	-0.01	825.91	
5.07	-0.01	836.59	
5.08	-0.01	847.31	
5.09	-0.01	858.10	
5.10	-0.01	868.93	
5.11	-0.01	879.82	
5.12	-0.01	890.76	
5.13	-0.01	901.76	
5.14	-0.01	912.80	
5.15	-0.01	923.90	
5.16	-0.01	935.05	
5.17	-0.01	946.26	
5.18	-0.01	957.51	
5.19	-0.01	968.82	
5.20	-0.01	980.18	*
5.21	-0.01	991.71	
5.22	-0.01	1004.03	
5.23	-0.01	1016.42	
5.24	-0.01	1028.88	
5.25	-0.01	1041.40	
5.26	-0.01	1053.98	
5.27	-0.01	1066.63	
5.28	-0.01	1079.35	
5.29	-0.01	1092.13	
5.30	-0.01	1104.98	
5.31	-0.01	1117.89	
5.32	-0.01	1130.86	
5.33	-0.01	1143.90	
5.34	-0.01	1157.01	
5.35	-0.01	1170.18	
5.36	-0.01	1183.41	
5.37	-0.01	1196.71	
5.38	-0.01	1210.07	
5.39	-0.01	1223.50	
5.40	-0.01	1236.99	*
5.41	-0.01	1250.32	
5.42	-0.01	1263.10	
5.43	-0.01	1275.93	
5.44	-0.01	1288.81	
5.45	-0.01	1301.75	
5.46	-0.01	1314.73	
5.47	-0.01	1327.77	
5.48	-0.01	1340.85	
5.49	-0.01	1353.99	
5.50	-0.01	1367.18	
5.51	-0.01	1380.42	
5.52	-0.01	1393.71	
5.53	-0.01	1407.05	
5.54	-0.01	1420.43	
5.55	-0.01	1433.87	
5.56	-0.01	1447.36	
5.57	-0.01	1460.90	
5.58	-0.01	1474.49	
5.59	-0.01	1488.13	
5.60	-0.01	1501.82	*
5.61	-0.01	1515.14	
5.62	-0.01	1527.90	
5.63	-0.01	1540.69	
5.64	-0.01	1553.52	
5.65	-0.01	1566.39	
5.66	-0.01	1579.30	
5.67	-0.01	1592.24	
5.68	-0.01	1605.21	
5.69	-0.01	1618.23	
5.70	-0.01	1631.28	
5.71	-0.01	1644.37	
5.72	-0.01	1657.49	
5.73	-0.01	1670.65	
5.74	-0.01	1683.85	
5.75	-0.01	1697.08	
5.76	0.00	1710.34	
5.77	0.00	1723.65	
5.78	0.00	1736.99	
5.79	0.00	1750.36	
5.80	0.00	1763.77	*
5.81	0.00	1776.37	
5.82	0.00	1788.27	
5.83	0.00	1800.19	
5.84	0.00	1812.13	
5.85	0.00	1824.09	
5.86	0.00	1836.08	
5.87	0.00	1848.08	
5.88	0.00	1860.10	
5.89	0.00	1872.14	
5.90	0.00	1884.21	
5.91	0.00	1896.29	
5.92	0.00	1908.39	
5.93	0.00	1920.52	
5.94	0.00	1932.66	
5.95	0.00	1944.82	
5.96	0.00	1957.01	
5.97	0.00	1969.21	
5.98	0.00	1981.43	
5.99	0.00	1993.67	
6.00	0.00	2005.94	*
6.01	0.00	2017.34	
6.02	0.00	2028.33	
